
1.2|Benn, C. R.|1988|ASPIC
2.|
3.2|Rees, Paul; Giddings, Jack; Mills, Dave|1993|IUEDR -- Reference Manual
4.2|Lawden, M. D; Hartley, K. F.|1992|ADAM -- The Starlink Software Environment
5.2|Bailey, J. A.|1998|ICL -- The Interactive Command Language for ADAM
6.3|Warren-Smith, R. F.|1994|ADAM Programmer's Facilities & Documentation Guide
7.4|Tweedy, R. W.; Clayton, Martin|1996|IUE Analysis -- A Tutorial
8.2|Davenhall, A. C.|1997|An Introduction to Visualisation Software for Astronomy
9.2|Clayton, Martin|1996|Introduction to Echelle Spectroscopy
10.2|PRivett, Grant|1998|Software and WWW-Based Resources
11.|
12.2|Morris, R.; Privett, G. J.; Davenhall, A. C.|1999|An Introduction to IRAF

